cartodb_id,the_geom,number,eachdate
1,,7,2010-01-01
2,,1,2010-01-02
3,,3,2010-01-03
4,,33,2010-01-04
5,,66,2010-01-05
6,,57,2010-01-06
7,,201,2010-01-07
8,,39,2010-01-08
9,,1,2010-01-09
10,,5,2010-01-10
11,,60,2010-01-11
12,,101,2010-01-12
13,,124,2010-01-13
14,,103,2010-01-14
15,,123,2010-01-15
16,,7,2010-01-16
17,,1,2010-01-17
18,,16,2010-01-18
19,,114,2010-01-19
20,,52,2010-01-20
21,,292,2010-01-21
22,,166,2010-01-22
23,,9,2010-01-23
24,,6,2010-01-24
25,,249,2010-01-25
26,,61,2010-01-26
27,,122,2010-01-27
28,,51,2010-01-28
29,,45,2010-01-29
30,,2,2010-01-30
31,,9,2010-01-31
32,,50,2010-02-01
33,,141,2010-02-02
34,,108,2010-02-03
35,,100,2010-02-04
36,,126,2010-02-05
37,,12,2010-02-06
38,,7,2010-02-07
39,,97,2010-02-08
40,,71,2010-02-09
41,,13,2010-02-10
42,,12,2010-02-11
43,,30,2010-02-12
44,,4,2010-02-13
45,,1,2010-02-14
46,,11,2010-02-15
47,,28,2010-02-16
48,,67,2010-02-17
49,,45,2010-02-18
50,,65,2010-02-19
51,,12,2010-02-20
52,,1,2010-02-21
53,,110,2010-02-22
54,,113,2010-02-23
55,,42,2010-02-24
56,,46,2010-02-25
57,,22,2010-02-26
58,,4,2010-02-27
59,,9,2010-02-28
60,,44,2010-03-01
61,,158,2010-03-02
62,,87,2010-03-03
63,,112,2010-03-04
64,,71,2010-03-05
65,,5,2010-03-06
66,,7,2010-03-07
67,,50,2010-03-08
68,,45,2010-03-09
69,,81,2010-03-10
70,,70,2010-03-11
71,,126,2010-03-12
72,,5,2010-03-13
73,,15,2010-03-14
74,,91,2010-03-15
75,,71,2010-03-16
76,,76,2010-03-17
77,,68,2010-03-18
78,,86,2010-03-19
79,,9,2010-03-20
80,,9,2010-03-21
81,,46,2010-03-22
82,,41,2010-03-23
83,,78,2010-03-24
84,,50,2010-03-25
85,,60,2010-03-26
86,,4,2010-03-27
87,,15,2010-03-28
88,,15,2010-03-29
89,,45,2010-03-30
90,,46,2010-03-31
91,,83,2010-04-01
92,,90,2010-04-02
93,,9,2010-04-03
94,,4,2010-04-04
95,,52,2010-04-05
96,,94,2010-04-06
97,,167,2010-04-07
98,,138,2010-04-08
99,,139,2010-04-09
100,,12,2010-04-10
101,,14,2010-04-11
102,,118,2010-04-12
103,,161,2010-04-13
104,,117,2010-04-14
105,,124,2010-04-15
106,,91,2010-04-16
107,,13,2010-04-17
108,,13,2010-04-18
109,,70,2010-04-19
110,,97,2010-04-20
111,,158,2010-04-21
112,,175,2010-04-22
113,,90,2010-04-23
114,,20,2010-04-24
115,,9,2010-04-25
116,,76,2010-04-26
117,,104,2010-04-27
118,,255,2010-04-28
119,,102,2010-04-29
120,,67,2010-04-30
121,,12,2010-05-01
122,,9,2010-05-02
123,,94,2010-05-03
124,,113,2010-05-04
125,,145,2010-05-05
126,,180,2010-05-06
127,,182,2010-05-07
128,,9,2010-05-08
129,,13,2010-05-09
130,,151,2010-05-10
131,,192,2010-05-11
132,,133,2010-05-12
133,,139,2010-05-13
134,,130,2010-05-14
135,,20,2010-05-15
136,,7,2010-05-16
137,,152,2010-05-17
138,,145,2010-05-18
139,,135,2010-05-19
140,,107,2010-05-20
141,,146,2010-05-21
142,,11,2010-05-22
143,,12,2010-05-23
144,,88,2010-05-24
145,,41,2010-05-25
146,,41,2010-05-26
147,,160,2010-05-27
148,,47,2010-05-28
149,,13,2010-05-29
150,,5,2010-05-30
151,,8,2010-05-31
152,,90,2010-06-01
153,,42,2010-06-02
154,,28,2010-06-03
155,,62,2010-06-04
156,,9,2010-06-05
157,,9,2010-06-06
158,,76,2010-06-07
159,,29,2010-06-08
160,,85,2010-06-09
161,,60,2010-06-10
162,,95,2010-06-11
163,,8,2010-06-12
164,,6,2010-06-13
165,,99,2010-06-14
166,,105,2010-06-15
167,,93,2010-06-16
168,,75,2010-06-17
169,,73,2010-06-18
170,,13,2010-06-19
171,,2,2010-06-20
172,,55,2010-06-21
173,,60,2010-06-22
174,,78,2010-06-23
175,,61,2010-06-24
176,,95,2010-06-25
177,,4,2010-06-26
178,,6,2010-06-27
179,,102,2010-06-28
180,,88,2010-06-29
181,,108,2010-06-30
182,,139,2010-07-01
183,,84,2010-07-02
184,,6,2010-07-03
185,,4,2010-07-04
186,,26,2010-07-05
187,,93,2010-07-06
188,,136,2010-07-07
189,,116,2010-07-08
190,,41,2010-07-09
191,,5,2010-07-10
192,,30,2010-07-11
193,,197,2010-07-12
194,,176,2010-07-13
195,,55,2010-07-14
196,,31,2010-07-15
197,,43,2010-07-16
198,,120,2010-07-17
199,,4,2010-07-18
200,,52,2010-07-19
