cartodb_id,the_geom,number,borough,eachdate
1,,1,BRONX,2010-01-01
2,,1,BROOKLYN,2010-01-01
3,,5,MANHATTAN,2010-01-01
4,,1,BROOKLYN,2010-01-02
5,,1,MANHATTAN,2010-01-03
6,,1,QUEENS,2010-01-03
7,,1,BRONX,2010-01-03
8,,3,BRONX,2010-01-04
9,,10,MANHATTAN,2010-01-04
10,,3,QUEENS,2010-01-04
11,,1,STATEN ISLAND,2010-01-04
12,,16,BROOKLYN,2010-01-04
13,,46,BROOKLYN,2010-01-05
14,,5,MANHATTAN,2010-01-05
15,,10,BRONX,2010-01-05
16,,5,QUEENS,2010-01-05
17,,34,BROOKLYN,2010-01-06
18,,12,MANHATTAN,2010-01-06
19,,7,BRONX,2010-01-06
20,,4,QUEENS,2010-01-06
21,,1,STATEN ISLAND,2010-01-07
22,,8,BRONX,2010-01-07
23,,8,QUEENS,2010-01-07
24,,153,MANHATTAN,2010-01-07
25,,31,BROOKLYN,2010-01-07
26,,10,BRONX,2010-01-08
27,,11,MANHATTAN,2010-01-08
28,,4,QUEENS,2010-01-08
29,,14,BROOKLYN,2010-01-08
30,,1,MANHATTAN,2010-01-09
31,,1,QUEENS,2010-01-10
32,,1,BRONX,2010-01-10
33,,3,BROOKLYN,2010-01-10
34,,2,QUEENS,2010-01-11
35,,11,MANHATTAN,2010-01-11
36,,33,BROOKLYN,2010-01-11
37,,13,BRONX,2010-01-11
38,,1,STATEN ISLAND,2010-01-11
39,,15,MANHATTAN,2010-01-12
40,,16,BRONX,2010-01-12
41,,66,BROOKLYN,2010-01-12
42,,4,QUEENS,2010-01-12
43,,11,MANHATTAN,2010-01-13
44,,2,QUEENS,2010-01-13
45,,21,BROOKLYN,2010-01-13
46,,90,BRONX,2010-01-13
47,,8,QUEENS,2010-01-14
48,,17,BRONX,2010-01-14
49,,24,MANHATTAN,2010-01-14
50,,54,BROOKLYN,2010-01-14
51,,16,BRONX,2010-01-15
52,,27,MANHATTAN,2010-01-15
53,,66,BROOKLYN,2010-01-15
54,,14,QUEENS,2010-01-15
55,,2,BROOKLYN,2010-01-16
56,,3,BRONX,2010-01-16
57,,1,QUEENS,2010-01-16
58,,1,MANHATTAN,2010-01-16
59,,1,BRONX,2010-01-17
60,,4,BROOKLYN,2010-01-18
61,,4,MANHATTAN,2010-01-18
62,,1,BRONX,2010-01-18
63,,1,STATEN ISLAND,2010-01-18
64,,6,QUEENS,2010-01-18
65,,43,BRONX,2010-01-19
66,,16,BROOKLYN,2010-01-19
67,,34,MANHATTAN,2010-01-19
68,,21,QUEENS,2010-01-19
69,,8,BRONX,2010-01-20
70,,19,BROOKLYN,2010-01-20
71,,18,MANHATTAN,2010-01-20
72,,7,QUEENS,2010-01-20
73,,179,MANHATTAN,2010-01-21
74,,26,BRONX,2010-01-21
75,,82,BROOKLYN,2010-01-21
76,,5,QUEENS,2010-01-21
77,,11,QUEENS,2010-01-22
78,,25,BRONX,2010-01-22
79,,91,MANHATTAN,2010-01-22
80,,38,BROOKLYN,2010-01-22
81,,1,STATEN ISLAND,2010-01-22
82,,4,BRONX,2010-01-23
83,,1,BROOKLYN,2010-01-23
84,,1,MANHATTAN,2010-01-23
85,,1,STATEN ISLAND,2010-01-23
86,,2,QUEENS,2010-01-23
87,,1,BRONX,2010-01-24
88,,3,QUEENS,2010-01-24
89,,2,BROOKLYN,2010-01-24
90,,22,BROOKLYN,2010-01-25
91,,34,BRONX,2010-01-25
92,,3,STATEN ISLAND,2010-01-25
93,,5,QUEENS,2010-01-25
94,,185,MANHATTAN,2010-01-25
95,,9,BROOKLYN,2010-01-26
96,,1,STATEN ISLAND,2010-01-26
97,,8,QUEENS,2010-01-26
98,,5,BRONX,2010-01-26
99,,38,MANHATTAN,2010-01-26
100,,7,BRONX,2010-01-27
101,,83,MANHATTAN,2010-01-27
102,,26,BROOKLYN,2010-01-27
103,,6,QUEENS,2010-01-27
104,,1,STATEN ISLAND,2010-01-28
105,,4,BRONX,2010-01-28
106,,19,MANHATTAN,2010-01-28
107,,20,BROOKLYN,2010-01-28
108,,7,QUEENS,2010-01-28
109,,1,BRONX,2010-01-29
110,,1,STATEN ISLAND,2010-01-29
111,,1,QUEENS,2010-01-29
112,,7,MANHATTAN,2010-01-29
113,,35,BROOKLYN,2010-01-29
114,,1,QUEENS,2010-01-30
115,,1,MANHATTAN,2010-01-30
116,,3,MANHATTAN,2010-01-31
117,,4,QUEENS,2010-01-31
118,,2,BROOKLYN,2010-01-31
119,,23,BROOKLYN,2010-02-01
120,,4,BRONX,2010-02-01
121,,5,QUEENS,2010-02-01
122,,18,MANHATTAN,2010-02-01
123,,4,QUEENS,2010-02-02
124,,75,MANHATTAN,2010-02-02
125,,39,BROOKLYN,2010-02-02
126,,23,BRONX,2010-02-02
127,,21,BRONX,2010-02-03
128,,29,MANHATTAN,2010-02-03
129,,51,BROOKLYN,2010-02-03
130,,6,QUEENS,2010-02-03
131,,1,STATEN ISLAND,2010-02-03
132,,21,BRONX,2010-02-04
133,,20,MANHATTAN,2010-02-04
134,,13,QUEENS,2010-02-04
135,,46,BROOKLYN,2010-02-04
136,,88,MANHATTAN,2010-02-05
137,,6,QUEENS,2010-02-05
138,,31,BROOKLYN,2010-02-05
139,,1,BRONX,2010-02-05
140,,3,QUEENS,2010-02-06
141,,4,MANHATTAN,2010-02-06
142,,5,BROOKLYN,2010-02-06
143,,1,STATEN ISLAND,2010-02-07
144,,2,BRONX,2010-02-07
145,,1,QUEENS,2010-02-07
146,,2,MANHATTAN,2010-02-07
147,,1,BROOKLYN,2010-02-07
148,,4,BRONX,2010-02-08
149,,21,BROOKLYN,2010-02-08
150,,12,QUEENS,2010-02-08
151,,60,MANHATTAN,2010-02-08
152,,4,QUEENS,2010-02-09
153,,38,BROOKLYN,2010-02-09
154,,12,BRONX,2010-02-09
155,,17,MANHATTAN,2010-02-09
156,,5,BROOKLYN,2010-02-10
157,,3,MANHATTAN,2010-02-10
158,,4,QUEENS,2010-02-10
159,,1,BRONX,2010-02-10
160,,3,QUEENS,2010-02-11
161,,3,MANHATTAN,2010-02-11
162,,1,BRONX,2010-02-11
163,,5,BROOKLYN,2010-02-11
164,,4,BROOKLYN,2010-02-12
165,,4,BRONX,2010-02-12
166,,3,QUEENS,2010-02-12
167,,19,MANHATTAN,2010-02-12
168,,2,QUEENS,2010-02-13
169,,1,BROOKLYN,2010-02-13
170,,1,BRONX,2010-02-13
171,,1,BRONX,2010-02-14
172,,1,BRONX,2010-02-15
173,,5,BROOKLYN,2010-02-15
174,,5,QUEENS,2010-02-15
175,,2,QUEENS,2010-02-16
176,,5,MANHATTAN,2010-02-16
177,,1,STATEN ISLAND,2010-02-16
178,,12,BRONX,2010-02-16
179,,8,BROOKLYN,2010-02-16
180,,3,QUEENS,2010-02-17
181,,6,BROOKLYN,2010-02-17
182,,33,MANHATTAN,2010-02-17
183,,25,BRONX,2010-02-17
184,,5,BRONX,2010-02-18
185,,9,QUEENS,2010-02-18
186,,20,MANHATTAN,2010-02-18
187,,11,BROOKLYN,2010-02-18
188,,24,BRONX,2010-02-19
189,,1,STATEN ISLAND,2010-02-19
190,,17,BROOKLYN,2010-02-19
191,,5,QUEENS,2010-02-19
192,,18,MANHATTAN,2010-02-19
193,,7,MANHATTAN,2010-02-20
194,,1,BROOKLYN,2010-02-20
195,,1,QUEENS,2010-02-20
196,,3,BRONX,2010-02-20
197,,1,BROOKLYN,2010-02-21
198,,2,STATEN ISLAND,2010-02-22
199,,34,BROOKLYN,2010-02-22
200,,46,MANHATTAN,2010-02-22
201,,18,BRONX,2010-02-22
202,,10,QUEENS,2010-02-22
203,,45,BROOKLYN,2010-02-23
204,,2,STATEN ISLAND,2010-02-23
