cartodb_id,the_geom,number,location_type,borough,eachdate
1,,1,,BROOKLYN,2010-01-01
2,,5,Mixed Use,MANHATTAN,2010-01-01
3,,1,Mixed Use,BRONX,2010-01-01
4,,1,Residential,BROOKLYN,2010-01-02
5,,1,Comercial,QUEENS,2010-01-03
6,,1,,BRONX,2010-01-03
7,,1,Residential,MANHATTAN,2010-01-03
8,,4,Comercial,MANHATTAN,2010-01-04
9,,1,,QUEENS,2010-01-04
10,,5,Mixed Use,BROOKLYN,2010-01-04
11,,2,Mixed Use,BRONX,2010-01-04
12,,4,Residential,MANHATTAN,2010-01-04
13,,1,,BRONX,2010-01-04
14,,2,,BROOKLYN,2010-01-04
15,,5,Comercial,BROOKLYN,2010-01-04
16,,2,Residential,QUEENS,2010-01-04
17,,3,Residential,BROOKLYN,2010-01-04
18,,1,Residential,STATEN ISLAND,2010-01-04
19,,1,Residential Building/House,BROOKLYN,2010-01-04
20,,2,Mixed Use,MANHATTAN,2010-01-04
21,,12,Comercial,BROOKLYN,2010-01-05
22,,11,Residential,BROOKLYN,2010-01-05
23,,2,Mixed Use,QUEENS,2010-01-05
24,,2,Mixed Use,BRONX,2010-01-05
25,,6,Residential,BRONX,2010-01-05
26,,1,,BRONX,2010-01-05
27,,12,Mixed Use,BROOKLYN,2010-01-05
28,,3,Comercial,QUEENS,2010-01-05
29,,1,Comercial,MANHATTAN,2010-01-05
30,,11,,BROOKLYN,2010-01-05
31,,1,Comercial,BRONX,2010-01-05
32,,4,Mixed Use,MANHATTAN,2010-01-05
33,,16,Comercial,BROOKLYN,2010-01-06
34,,7,Mixed Use,MANHATTAN,2010-01-06
35,,5,Comercial,MANHATTAN,2010-01-06
36,,2,Comercial,QUEENS,2010-01-06
37,,2,Residential,QUEENS,2010-01-06
38,,6,,BRONX,2010-01-06
39,,2,,BROOKLYN,2010-01-06
40,,7,Residential,BROOKLYN,2010-01-06
41,,1,Comercial,BRONX,2010-01-06
42,,9,Mixed Use,BROOKLYN,2010-01-06
43,,7,Residential,MANHATTAN,2010-01-07
44,,7,,BRONX,2010-01-07
45,,3,Residential,QUEENS,2010-01-07
46,,1,Comercial,BRONX,2010-01-07
47,,6,Residential,BROOKLYN,2010-01-07
48,,104,Mixed Use,MANHATTAN,2010-01-07
49,,1,Residential,STATEN ISLAND,2010-01-07
50,,13,Mixed Use,BROOKLYN,2010-01-07
51,,1,Residential Building/House,QUEENS,2010-01-07
52,,2,Residential Building/House,BROOKLYN,2010-01-07
53,,1,Comercial,QUEENS,2010-01-07
54,,3,Mixed Use,QUEENS,2010-01-07
55,,33,Comercial,MANHATTAN,2010-01-07
56,,8,Comercial,BROOKLYN,2010-01-07
57,,2,,BROOKLYN,2010-01-07
58,,9,,MANHATTAN,2010-01-07
59,,2,,BRONX,2010-01-08
60,,1,Residential Building/House,MANHATTAN,2010-01-08
61,,6,Residential,BROOKLYN,2010-01-08
62,,1,Mixed Use,QUEENS,2010-01-08
63,,2,Mixed Use,BROOKLYN,2010-01-08
64,,1,Residential,BRONX,2010-01-08
65,,5,Mixed Use,BRONX,2010-01-08
66,,6,Comercial,BROOKLYN,2010-01-08
67,,1,Residential,MANHATTAN,2010-01-08
68,,2,Residential,QUEENS,2010-01-08
69,,1,,MANHATTAN,2010-01-08
70,,7,Comercial,MANHATTAN,2010-01-08
71,,1,Comercial,QUEENS,2010-01-08
72,,2,Comercial,BRONX,2010-01-08
73,,1,Mixed Use,MANHATTAN,2010-01-08
74,,1,Mixed Use,MANHATTAN,2010-01-09
75,,2,Residential Building/House,BROOKLYN,2010-01-10
76,,1,Comercial,BROOKLYN,2010-01-10
77,,1,Residential,BRONX,2010-01-10
78,,1,Residential,QUEENS,2010-01-10
79,,1,Residential,BRONX,2010-01-11
80,,1,Comercial,QUEENS,2010-01-11
81,,5,Residential,BROOKLYN,2010-01-11
82,,1,Comercial,BRONX,2010-01-11
83,,2,Comercial,MANHATTAN,2010-01-11
84,,1,,STATEN ISLAND,2010-01-11
85,,9,Mixed Use,MANHATTAN,2010-01-11
86,,10,Comercial,BROOKLYN,2010-01-11
87,,1,,BROOKLYN,2010-01-11
88,,1,Residential,QUEENS,2010-01-11
89,,11,,BRONX,2010-01-11
90,,17,Mixed Use,BROOKLYN,2010-01-11
91,,6,Mixed Use,MANHATTAN,2010-01-12
92,,1,,QUEENS,2010-01-12
93,,1,Residential,QUEENS,2010-01-12
